Date_of_visit,P.E.I.,N.S.,Que.,Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,Total
2020-06-03,61,643,7504,13791,753,837,4767,3687,104,32147
2020-06-04,64,702,7496,14120,760,749,4691,3782,77,32441
2020-06-05,54,716,7687,14069,796,760,4855,3728,113,32778
2020-06-06,51,695,7001,12987,723,708,4727,3721,87,30700
2020-06-07,55,710,7075,13037,735,758,4354,3725,79,30528
2020-06-08,49,771,8384,15299,828,776,4912,3899,98,35016
2020-06-09,47,732,7707,14373,792,761,4881,3577,109,32979
2020-06-10,54,732,7463,13939,761,767,4825,3843,102,32486
2020-06-11,52,701,7744,13840,824,765,4850,3842,99,32717
2020-06-12,64,678,7493,14205,817,759,5034,3784,85,32919
2020-06-13,67,676,6799,13203,764,851,4883,3699,82,31024
2020-06-14,44,691,7018,13193,811,822,4919,3678,80,31256
2020-06-15,51,798,8424,15561,875,865,5224,3909,94,35801
2020-06-16,59,714,7789,14703,849,807,4879,4011,99,33910
2020-06-17,56,670,7858,14665,798,760,4733,3987,88,33615
2020-06-18,51,703,7950,14794,809,795,4972,3917,97,34088
2020-06-19,46,752,8066,14737,798,784,4922,4045,107,34257
2020-06-20,42,729,7228,13607,744,779,4945,3821,94,31989
2020-06-21,56,720,7304,13569,759,767,4882,3854,90,32001
2020-06-22,68,829,9071,16861,848,904,5566,4200,87,38434
2020-06-23,53,807,8496,15222,823,827,5170,3960,101,35459
2020-06-24,60,811,7987,15101,832,833,5016,3990,111,34741
2020-06-25,54,734,8787,15184,816,830,5098,4056,102,35661
2020-06-26,66,784,8459,15384,812,796,5182,4124,104,35711
2020-06-27,52,741,7928,14271,802,784,4851,3853,89,33371
2020-06-28,60,760,7664,14228,823,827,4928,3986,70,33346
2020-06-29,68,866,8867,16825,975,861,5249,4351,111,38173
2020-06-30,51,811,8626,15742,821,829,4996,4058,127,36061
